"N","CPMS","Denominacion_Procedimientos","II_NIVEL","III _NIVEL"
2919,"86038",Anticuerpos antinucleares (ANA),"15.6","15.6"
2920,"86060",Antiestreptolisina O; título,"14.76","14.76"
2921,"86070",Pruebas cruzadas,"15.58","15.58"
2922,"86140",Proteína C reactiva,"8.38","8.38"
2923,"86141",Medicion de proteína C-reactiva de alta sensibilidad,"17.64","17.64"
2924,"86147","Cardiolipina, anticuerpo, (fosfolípido), cada clase de Ig","16.85","16.85"
2925,"86148",Anticuerpo anti-fosfatidilserina (fosfolípido),"15.6","15.6"
2926,"86156",Crioaglutinina; tamizaje,"6.29","6.29"
2927,"86160","Complemento; antígeno, cada componente","16.1","16.1"
2928,"86162",Complemento; total hemolítico (CH50),"15.19","15.19"
2929,"86200",Anticuerpos Anti-Péptido citrulinado cíclico,"15.6","15.6"
2930,"86225","Acido desoxirribonucleico (ADN), anticuerpo contra; ADN nativo o de doble filamento","19.81","19.81"
2931,"86226","Acido desoxirribonucleico (ADN), anticuerpo contra; un solo filamento","15.19","15.19"
2932,"86235","Anticuerpos contra antígeno nuclear extraíble, cualquier método (p ej nRNP, SSA, SS-B, Sm, RNPScl70, JO1), cada anticuerpo (ENA anticuerpos; Anti-ENA)","18.73","18.73"
2933,"86300",Inmunoensayo cuantitativo para antígeno tumoral CA 15-3 (2729),N/C,"23.16"
2934,"86301",Inmunoensayo cuantitativo para antígeno tumoral CA 19-9,N/C,"24.4"
2935,"86304",Inmunoensayo cuantitativo para antígeno tumoral CA 125,N/C,"25.01"
2936,"86316","Inmunoensayo cuantitativo para otros antígenos tumorales (pej: CA50, 72-4, 549), cada uno","26.09","26.09"
2937,"86316.01",Inmunoensayo cuantitativo para antígeno tumoral CYFRA 21-1,N/C,"45.5"
2938,"86318","Inmunoensayo para anticuerpos contra agentes infecciosos, cualitativo o semicuantitativo, método de un solo paso (p ej tira reactiva)","15.6","15.6"
2939,"86318.01",Detección cualitativa de anticuerpos por inmunocromatografía para VIH 1-2 y Treponema pallidum (prueba dual),"9.88","9.88"
2940,"86319",Inmunofijación,"43.44","43.44"
2941,"86320",Inmunoelectroforesis; suero,"15.83","15.83"
2942,"86325","Inmunoelectroforesis; otros líquidos (p ej orina, líquido cefalorraquídeo), con concentracion","15.83","15.83"
2943,"86328","Inmunoensayo para anticuerpo (s) para agente infeccioso, cualitativo o semicuantitativo, método de paso único (p.ej. tira reactiva); coronavirus 2 del síndrome respiratorio agudo severo (SARS-CoV-2) (enfermedad por coronavirus [COVID-19])(descripción larga); Inmunoensayo de anticuerpo para SARS-COV-2 COVID-19 (descripción corta)","24.49","24.49"
2944,"86332",Análisis de complejos inmunes,"15.19","15.19"
2945,"86334","Electroforesis con inmunoFijación, suero",N/C,"149.9"
2946,"86335","Electroforesis con inmunoFijación, en otros fluidos con concentracion (p ej orina, LCR)",N/C,"11.15"
2947,"86337",Anticuerpos contra la insulina,"15.19","15.19"
2948,"86359",Linfocitos T; recuento total,"15.8","15.85"
2949,"86360","Linfocitos T; recuento absoluto de CD4 y CD8, incluyendo la relacion CD4/CD8","19.5","19.51"
2950,"86361",Linfocitos T; recuento absoluto de CD4,"15.8","15.85"
2951,"86430",Factor reumatoideo; cualitativo,"5.65","5.65"
2952,"86431",Factor reumatoideo; cuantitativo,"18.08","18.08"
2953,"86480","Prueba de la tuberculosis, medicion de la inmunidad mediada por células a través de la respuesta al antígeno con interferon gamma",N/C,"157.11"
2954,"86486","Pruebas cutáneas; antigeno no listado, cada uno","16.21","16.29"
2955,"86580","Pruebas cutáneas; tuberculosis, intradérmica","4.07","4.17"
2956,"86585",Prueba cutánea para tuberculosis con disco,"23.16","23.16"
2957,"86586",Prueba cutánea para otros antígenos especificados,"6.42","6.42"
2958,"86588",Estreptococo beta hemolítico (prueba rápida),"5.38","5.38"
2959,"86592","Prueba de sifilis; anticuerpo no treponémico; cualitativo (p ej VDRL, RPR, ART)","4.34","4.34"
2960,"86593","Prueba de sifilis; anticuerpo no treponémico, cuantitativa",N/C,"14.13"
2961,"86594",Anticuerpos antitiroideos - Anti TPO - Tiroglobulina,"26.56","26.56"
2962,"86603",Anticuerpos; adenovirus,"15.6","15.6"
2963,"86606",Anticuerpos; Aspergillus,"15.6","15.6"
2964,"86611",Anticuerpos; Bartonella,"15.6","15.6"
2965,"86622",Anticuerpos; Brucella,"15.19","15.19"
2966,"86628",Anticuerpos; Candida,"15.6","15.6"
2967,"86631",Anticuerpos; clamidia,"22.85","22.85"
2968,"86644",Anticuerpos; citomegalovirus (CMV),"22.2","22.2"
2969,"86644.01",PCR cuantitativo citomegalovirus,N/C,"340.04"
2970,"86645","Anticuerpos; citomegalovirus (CMV), IgM","22.45","22.45"
2971,"86658","Anticuerpos; enterovirus (p ej coxsackie, eco, polio)","15.6","15.6"
2972,"86663","Anticuerpos; virus Epstein-Barr (EB), antígeno prectoz (EA)",N/C,"18.68"
2973,"86664","Anticuerpos; virus Epstein-Barr (EB), antígeno de la núcleocápside (EBNA)","16.67","16.67"
2974,"86665","Anticuerpos; virus Epstein-Barr (EB), antígeno de la cápside del virus (VCA)","16.67","16.67"
2975,"86665.01",Epstein Barr Virus VCA IgM,N/C,"40.03"
2976,"86677",Anticuerpos; Helicobacter pylori,"15.6","15.6"
2977,"86687",Anticuerpos; HTLV-I,"15.6","15.6"
2978,"86689","Anticuerpos; anticuerpo contra HTLV o HIV, prueba de confirmacion (pej, Western Blot)",N/C,"44.42"
2979,"86695","Anticuerpos; herpes simple, tipo 1","15.99","15.99"
2980,"86695.01",IgM herpes simple tipo 1,N/C,"19.58"
2981,"86696","Anticuerpos; herpes simple, tipo 2",N/C,"20.52"
2982,"86696.01",IgM herpes simple tipo 2,N/C,"20.27"
2983,"86698",Anticuerpos; histoplasma,"15.19","15.19"
2984,"86702",Detección de anticuerpos; HIV-2,"12.81","12.81"
2985,"86703",Detección de anticuerpos HIV 1-2,"12.81","12.81"
2986,"86703.01",Detección cualitativa de anticuerpo por inmunocromatografía para VIH 1-2,"8.4","8.4"
2987,"86703.02",Detección cualitativa de antígeno y anticuerpo   por inmunocromatografía para VIH 1-2,N/C,"7.65"
2988,"86704",Detección de anticuerpo contra el antígeno de la núcleocápside de la hepatitis B (HBcAb); total,"14.79","14.79"
2989,"86705",Anticuerpo contra el antígeno de la núcleocápside de la hepatitis B (HBcAb); anticuerpo IgM,"18.13","18.13"
2990,"86706",Anticuerpo contra el antígeno de superficie de la hepatitis B (HBsAb),"17.8","17.8"
2991,"86707",Anticuerpo contra la hepatitis Be (HBeAb),"15.6","15.6"
2992,"86708",Anticuerpo contra la hepatitis A (HAAb); total,"18.13","18.13"
2993,"86709",Anticuerpo contra la hepatitis A (HAAb); anticuerpo IgM,"16.24","16.24"
2994,"86710",Anticuerpo contra virus de la influenza,"15.6","15.6"
2995,"86717",Anticuerpo contra; Leishmania,"32.43","32.43"
2996,"86738",Anticuerpo contra; micoplasma,"15.6","15.6"
2997,"86747",Anticuerpo contra; parvovirus,"15.6","15.6"
2998,"86747.01",Determinacion de anticuerpos para Parvovirus IgM,N/C,"20.86"
2999,"86762",Anticuerpo contra; rubéola,"15.7","15.7"
3000,"86762.01",Rubeola IGM,N/C,"30.75"
3001,"86765",Anticuerpo contra; sarampion,"15.6","15.6"
3002,"86768",Anticuerpo contra; Salmonella,"13.55","13.55"
3003,"86769",Anticuerpos para coronavirus 2 del síndrome respiratorio agudo severo (SARS-CoV-2) (enfermedad por coronavirus [COVID-19])(denominación larga)Anticuerpos para SARS-CoV-2 COVID-19 (denominación corta),N/C,"98.9"
3004,"86777",Anticuerpo contra; toxoplasma,"17.85","17.85"
3005,"86778","Anticuerpo contra; toxoplasma, IgM","17.85","17.85"
3006,"86780",Detección de Anticuerpo; Treponema pallidum,"15.6","15.6"
3007,"86780.01",Detección cualitativa treponémica de anticuerpos totales por inmunocromatografía para Treponema pallidum,"7.2","7.2"
3008,"86781","FTA - absorbido, prueba de confirmacion Treponema pallidum","17.27","17.27"
3009,"86787",Anticuerpo contra; varicella zoster,"15.6","15.6"
3010,"86787.01",Anticuerpo contra; varicella zoster IgM,N/C,"20.27"
3011,"86790","Anticuerpo contra; virus, no especificado en otro lugar","15.6","15.6"
3012,"86790.01",Anticuerpo contra; dengue,"30.5","30.5"
3013,"86793",Anticuerpo contra; Yersinia,N/C,"15.6"
3014,"86800",Anticuerpo contra la tiroglobulina,"15.6","15.6"
3015,"86803",Detección de anticuerpos hepatitis C,"19.41","19.41"
3016,"86803.01","Detección cualitativa de anticuerpos contra el virus de la hepatitis C por inmunocromatografía en sangre total, plasma y/o suero","10.35","10.35"
3017,"86805","Análisis de linfocitotoxicidad, prueba cruzada visual; con titulación",N/C,"178.99"
3018,"86807",Tamizaje en suero de anticuerpos citotoxicos (PRA); método estandar,N/C,"688.51"
3019,"86812","Tipificacion HLA; A, B o C (p ej A10, B7, B27), antígeno único pej: Genotipo HLA-B*51, antígeno único Genotipo HLA-DRB1*02, antígeno único","15.6","15.6"
3020,"86812.01","Tipificación Molecular HLA - A, B, C, DR, DQ - SSO en Resolución Intermedia",N/C,"2949.44"
3021,"86812.02","Tipificación Molecular HLA - A, B, DR - SSO en Resolución Intermedia",N/C,"1772.16"
3022,"86812.03",Tipificacion Molecular HLA - A - SSO en Resolución Intermedia,N/C,"595.62"
3023,"86812.04",Tipificacion Molecular HLA - B - SSO en Resolución Intermedia,N/C,"594.89"
3024,"86812.05",Tipificacion Molecular HLA - C - SSO en Resolución Intermedia,N/C,"596.09"
3025,"86812.06","Genotipo HLA-B*51, antígeno único","496.36","496.36"
3026,"86812.07","Genotipo HLA-B*27, antígeno único","496.36","496.36"
3027,"86816.01",Tipificacion Molecular HLA - DR - SSO en Resolución Intermedia,N/C,"663.14"
3028,"86816.02",Tipificacion Molecular HLA - DQ - SSO en Resolución Intermedia,N/C,"530.19"
3029,"86825","Prueba cruzada de antígeno leucocitario humano (HLA), no citotóxico (p. ej. empleando citometría de flujo); primera muestra de suero o dilución",N/C,"918.6"
3030,"86828","Anticuerpo a antígenos de leucocitos humanos (HLA), ensayos de fase sólida (p. ej. Microesferas o lechos, ELISA, citometría de flujo); evaluación cualitativa de la presencia o ausencia de anticuerpo(s) a los antígenos HLA de clase I y clase II",,"1492.94"
3031,"86832","Anticuerpo a antígenos de leucocitos humanos (HLA), ensayos de fase sólida (p. ej. Microesferas o lechos, ELISA, citometría de flujo); panel cualitativo de alta definición para la identificación de especificidades de anticuerpos (p. ej. Metodología de antígeno individual por lecho), HLA clase I",N/C,"1994.1"
3032,"86833","Anticuerpo a antígenos de leucocitos humanos (HLA), ensayos de fase solida (p ej Microesferas o lechos, ELISA, citometría de flujo); panel cualitativo de alta definicion para la Identificación de especificidades de anticuerpos (p ej métodología de antígeno individual por lecho), HLA clase II",N/C,"528.74"
3033,"86849.01",Antígeno PP65 (para Citomegalovirus),"154.18","154.18"
3034,"86849.06",Pruebas inmunocromatográficas para diagnóstico de malaria ,"10.98","10.98"
3035,"86870","Identificación de anticuerpos contra eritrocitos, cada batería por cada técnica en suero",N/C,"105.97"
3036,"86880","Prueba de antiglobulina humana (prueba de Coombs); directa, cada antisuero","5.71","5.71"
3037,"86880.01","Prueba de antiglobulina humana (prueba de Coombs); directa, cada antisuero monoespecífico","42.13",
3038,"86885","Prueba de antiglobulina humana (prueba de Coombs); indirecta, cualitativa, cada reactivo de eritrocitos (rastreo de anticuerpos irregulares)","5.71","5.71"
3039,"86886","Prueba de antiglobulina humana (prueba de Coombs); indirecta, cada título de anticuerpo","5.71","5.71"
3040,"86890","Sangre o componente autólogo, obtención, procesado y almacenamiento; predepositados","15.73","15.73"
3041,"86900",Tipificacion de sangre; ABO,"4.01","4.01"
3042,"86900.01",Grupo Sanguíneo ABD-Inverso (Fase Solida),,"20.08"
3043,"86900.02",Tipificación de sangre; Grupo Sanguineo ABD - PLACA,N/C,"2.36"
3044,"86901",Tipificacion de sangre; Rh (D),"2.66","2.66"
3045,"86901.01",Tipificación de sangre; Rh (D) variante Du,"42.42",
3046,"86905","Tipificación de sangre; antígenos de eritrocitos, que no sea ABO y Rh (D), cada uno",N/C,"153.07"
3047,"86906","Tipificacion de sangre; fenotipificacion Rh, completa","7.66","7.66"
3048,"86906.02",Fenotipo Ampliado (Gel),"86.41",
3049,"86906.03","Tipificación de sangre; fenotipificación extendido Rh-KELL, completa (Fase Solida)","36.03",
3050,"86917",Celulas Progenitoras,"13.2","13.2"
3051,"86920.01",Prueba cruzada,"15.19","15.19"
3052,"86920.02",Células Panel,"158.28",
3053,"86920.03",Celular pantalla,"21.76",
3054,"86920.08","Tamizaje Molecular NAT para detección de virus VIH, VHC y VHB en donante de sangre",N/C,"157.11"
3055,"86922",Prueba de compatibilidad para cada unidad; técnica de antiglobulina,"16.64","16.64"
3056,"86924",Leucoferesis (banco de sangre),"13.2","13.2"
3057,"86927","Descongelamiento de plasma fresco congelado, cada unidad",N/C,"1.25"
3058,"86945","Irradiación de producto sanguíneo, cada unidad",N/C,"64.88"
3059,"86965.01",Plaquetas en Pool Leucorreducidas,,"1"
3060,"86985","Fracciónamiento de productos de la sangre, por unidad",N/C,"6.38"
3061,"86985.02",Sangria Terapéutica,N/C,"2.29"
3062,"86985.05",Fraccionamiento De Plaquetas (2° Fase),,"3.11"
3063,"86989",Plasma Fresco Congelado - Reparación y conservación de plasma,"2.66",
3064,"86989.01",Recambio Plasmatico Terapeutico,N/C,"8.99"
3065,"86990",Concentrado de Plaquetas - Reparación y conservación de plaquetas,"1.84",
3066,"86991",Crioprecipitado - Reparación y conservacion de crioprecipitado,N/C,"0.84"
3067,"86996",Evaluación Médica - atención de donantes,N/C,"0.8"
3068,"86999.04",Plaquetas por aféresis,N/C,"1.18"
3069,"87015","Concentracion (de cualquier tipo), para detectar agentes infecciosos","17.05","17.08"
3070,"87040","Cultivo bacterial, en sangre, aerobico, con aislamiento e Identificación presuntativa de cepas (incluye cultivo anaerobico, si es necesario)","13.82","13.83"
3071,"87040.01",Hemocultivo con MIC,"43.84","43.84"
3072,"87045","Cultivo bacterial, en heces, aerobico, con aislamiento e examen preliminar (pej: KIA, LIA) de especies de Salmonella y Shiguella","13.02","13.02"
3073,"87046","Cultivo bacterial, en heces, aerobico, de patogenos adicionales, aislamiento e Identificación presuntativa de cepas, cada placa","11.33","11.36"
3074,"87046.01","Cultivo bacterial de heces (coprocultivo), aeróbico de salmonella, Shiguella y patógenos adicionales con MIC",N/C,"33.34"
3075,"87070","Cultivo bacterial, en cualquier fuente excepto orina, sangre o heces, con aislamiento e Identificación presuntativa de cepas","13.88","13.88"
3076,"87072","Cultivo o método directo de identificación bacteriana, cada organismo, con kit comercial, cualquier fuente excepto orina","43.79","43.79"
3077,"87077","Cultivo bacterial, aislamiento aeróbico, metodos adicionales. requeridos para la identificación definitiva, cada aislamiento","13.72","13.72"
3078,"87081","Cultivo de organismos presuntivamente patógenos, con propósitos de tamizaje solamente","17.74","17.74"
3079,"87086",Urocultivo con recuento de colonias cuantitativo,"11.33","11.36"
3080,"87087",Urocultivo y antibiograma,"11.87","11.87"
3081,"87088",Urocultivo con aislamiento e identificación presuntiva de cada aislamiento,"18.8","18.8"
3082,"87101","Cultivo de hongos (espora o levadura), aislamiento (con o sin Identificación presuntiva); piel, pelo o uñas","5.61","5.63"
3083,"87102","Cultivo de hongos (espora o levadura), aislamiento, con Identificación presuntiva de aislamientos); otra fuente (excepto sangre)","5.61","5.63"
3084,"87103","Cultivo  de  hongos  (espora  o  levadura),  aislamiento,  con  identificación presuntiva de aislamientos; sangre",N/C,"29.29"
3085,"87110","Cultivo de clamidia, cualquier fuente","19.21","19.21"
3086,"87115",Baciloscopia: BK,"3.56","3.56"
3087,"87116","Cultivo de bacilos de tubérculo o cualquier otro bacilo ácido-resistente (p ej tuberculosis, AFB, micobacteria); cualquier fuente, con aislamiento e Identificación presuntiva de aislamientos","11.33","11.36"
3088,"87117","Cultivo de bacilos de tubérculo o cualquier otro bacilo ácido-resistente (p. ej. tuberculosis, AFB, micobacteria); concentración más aislamiento","159.73","159.73"
3089,"87150","Cultivo, tipificación; identificación mediante prueba de ácido nucleico (DNA o RNA), técnica de amplificación, por cultivo o aislado, cada organismo evaluado","60.42","60.42"
3090,"87158",Cultivo de tipificación; por otros métodos,"73.95","73.95"
3091,"87161",Cultivo de Anaerobios,"11.33","11.36"
3092,"87162","Cultivo de secreciones (faríngea, uretral, vaginal, esputo, heridas, otros)",N/C,"33.29"
3093,"87162.01","Toma de muestra, cultivo para ITS","8.72","8.72"
3094,"87163","Cultivo de líquidos corporales (LCR, pleural, ascítico, pericárdico, amniótico, otros)","18.93","18.93"
3095,"87177",Examen de frotis directo y de concentracion para Identificación de huevos y parásitos,"2.39","2.39"
3096,"87177.01",Estudio parasitológico en heces por 3,N/C,"6.83"
3097,"87177.03",Método cuantitativo de Kato-Katz,"5.75","5.75"
3098,"87178",Test de Graham,"1.89","1.89"
3099,"87179",Examen coprologico funcional,"2.23","2.23"
3100,"87180",Investigación de strongiloides,"8.19","8.19"
3101,"87181","Estudios de sensibilidad a antibioticos; método de difusion en agar, por cada antibiotico (p ej cinta de gradiente de antibiotico)","8.64","8.64"
3102,"87186","Estudios de sensibilidad antibiótica, agente microbiano; por microdilución o dilución en agar (concentración mínima inhibitoria o punto de quiebre), cada multi-antimicrobiano, por placa","100.05","100.05"
3103,"87190","Estudios de sensibilidad antibiotica para micobacterias, método proporciónal, cada agente","11.01","11.01"
3104,"87205","Frotis de fuente primaria con interpretación, con coloracion Gram o Giemsa o Wright para bacterias, hongos o tipos de células","2.06","2.06"
3105,"87206","Frotis de fuente primaria con interpretación; tincion fluorescente y/o ácido-resistente para bacterias, hongos, parásitos, virus o tipos celulares","8.96","8.99"
3106,"87207","Frotis de fuente primaria con interpretación, con tincion especial para cuerpos de inclusion o parásitos (p ej malaria, coccidios, microsporidios, tripanosomas, virus de herpes)","2.35","2.35"
3107,"87209","Frotis de fuente primaria con interpretación, con tincion especial compleja (p ej tricromo, hematoxilina hierro) para huevos y parasitos","8.96","8.99"
3108,"87210","Frotis con montaje húmedo para Identificación de agentes infecciosos (p ej solución salina, tinta de la India, Reparaciónes de KOH)","8.64","8.64"
3109,"87210.01",Tinta china en líquidos biológicos,N/C,"7"
3110,"87211",Parasitologico - sedimentacion en copa,"2.66","2.66"
3111,"87220","Examen con KOH de muestras de la piel, pelo, o uñas para hongos, huevos de ectoparásito o ácaros (pej: sarna)","2.1","2.1"
3112,"87230",Análisis de toxinas o antitoxinas mediante cultivo de tejidos (p ej toxina de Clostridium difficile),"11.33","11.36"
3113,"87250","Identificación de virus; inoculacion de huevos embriónados, o animal pequeño, incluyendo la observacion y diseccion","12.52","12.54"
3114,"87254","Identificación de virus, técnica de centrifugado mejorado (shell vial), incluye Identificación con coloracion inmunofluorescente), cada virus","10.15","10.17"
3115,"87270",Detección de antígenos de agentes infecciosos mediante técnica de inmunofluorescencia; Chlamydia trachomatis,"46.75","46.75"
3116,"87272",Detección de antígenos de agentes infecciosos mediante técnica de inmunofluorescencia; Cryptosporidium,"16.94","16.97"
3117,"87274",Detección de antígenos de agentes infecciosos mediante técnica de inmunofluorescencia; virus del herpes simple tipo 1,"16.94","16.97"
3118,"87276",Detección de antígenos de agentes infecciosos mediante técnica de inmunofluorescencia; influenza A virus,"15.64","15.64"
3119,"87280",Detección de antígenos de agentes infecciosos mediante técnica de inmunofluorescencia; virus sincitial respiratorio,"16.01","16.04"
3120,"87285",Detección de antígenos de agentes infecciosos mediante técnica de inmunofluorescencia; Treponema pallidum,"17.05","17.08"
3121,"87299","Detección de agente infeccioso por inmunofluorescencia; no especificado de otra manera, cada organismo","15.6","15.6"
3122,"87300","Detección de antígeno por técnica de inmunofluorescencia, polivalente para múltiples organismos, cada antisuero polivalente",N/C,"199.58"
3123,"87320","Detección de antígenos de agente infeccioso mediante técnica de inmunoensayo enzimático, cualitativo o semicuantitativo, método de varios pasos; Chlamydia trachomatis","24.3","24.33"
3126,"87340.01",Detección de antígeno de virus hepatitis B     ,N/C,"13.42"
3124,"87327","Detección de antígenos de agente infeccioso mediante técnica de inmunoensayo enzimático, cualitativo o semicuantitativo, método de varios pasos; Cryptococcus neoformans","35.25","35.25"
3125,"87340","Detección de antígenos de agente infeccioso mediante técnica de inmunoensayo enzimático, cualitativo o semicuantitativo, método de varios pasos; hepatitis B antigeno de superficie (HBsAg)","15.28","15.28"
3127,"87342","Detección  cualitativa  de  antígeno  de  superficie  (HBsAg)  del  virus  de  la hepatitis  B  por  inmunocromatografía  en  sangre  total,  plasma  y/o  suero. (Prueba rápida)",N/C,"6.19"
3128,"87350","Detección de antígenos de agente infeccioso mediante técnica de inmunoensayo enzimático, cualitativo o semicuantitativo, método de varios pasos; antigeno hepatitis Be (HBeAg)","15.36","15.36"
3129,"87351",Detección de AgE para hepatitis B (HBeAg),"16.01","16.04"
3130,"87389","Detección de antígeno de agente infeccioso mediante técnica de inmunoensayo enzimático, cualitativo o semicuantitativo, método de pasos múltiples; antígeno(s) de HIV-1, con anticuerpos de HIV-1 y HIV-2, resultado único","9.48","10.93"
3131,"87445",Chagas ELISA,"15.6","15.6"
3132,"87445.01",Detección de anticuerpos Chagas,N/C,"21.35"
3133,"87449","Detección de antígenos de agente infeccioso mediante técnica de inmunoensayo enzimático, cualitativo o semicuantitativo, método de varios pasos; para un organismo no especificado en otro lugar","15.6","15.6"
3134,"87522","Detección de agente infeccioso por medio de ácidos nucléicos (ADN o ARN); hepatitis C, cuantificación, incluye transcripción reversa cuando se realice",N/C,"918.5"
3135,"87522.01",Carga viral del virus de la hepatitis C (HCV)-PCR en tiempo real,N/C,"342.68"
3136,"87533","Detección de agente infeccioso por medio de ácidos nucléicos (ADN o ARN); virus del Herpes-6, cuantificacion",N/C,"340.04"
3137,"87535",Detección cualitativa de ácidos nucleicos (ADN/ARN) de VIH-1 por PCR en tiempo real,N/C,"90.9"
3138,"87536",Determinacion cuantitativa del ARN viral de VIH-1 por PCR en tiempo real,N/C,"16.71"
3139,"87556","Detección de agente infeccioso por medio de ácidos nucléicos (ADN o ARN); Micobacteria tuberculosis, técnica de Evaluación con amplificacion",N/C,"362.69"
3140,"87556.01",Prueba rápida molecular para diagnóstico de la tuberculosis y resistencia a la rifampicina (RR).,N/C,"247.43"
3141,"87620","Detección de agente infeccioso por medio de ácidos nucléicos (ADN o ARN); Papillomavirus, humano, técnica de Evaluación directa (prueba VPH)",N/C,"85.33"
3142,"87621","Detección de agente infeccioso por medio de ácidos nucléicos (ADN o ARN); Papillomavirus, humano, técnica de Evaluación con amplificacion",N/C,"69.7"
3143,"87631","Detección de agente infeccioso por ácido nucleico (DNA o RNA); virus respiratorio (p. ej. adenovirus, influenza, coronavirus, metaneumovirus, parainfluenza, virus sincicial respiratorio, rinovirus), transcripción reversa múltiple y técnica de prueba amplificada, múltiples tipos o subtipos, 3-5 objetivos",,"378.18"
3144,"87635","Detección de agentes infecciosos por ácido nucleico (ADN o ARN); síndrome respiratorio agudo severo coronavirus 2 (SARS-CoV-2) (enfermedad por coronavirus [COVID-19]), técnica de sonda amplificada (descripcion larga);SARS-COV-2 COVID-19 AMP PRB (descripcion corta)",N/C,"100.05"
3145,"87797","Detección de agente infeccioso por medio de ácidos nucléicos (ADN o ARN); no especificado de otra forma, técnica de Evaluación directa, cada organismo",N/C,"16.71"
3146,"87799","Detección de agente infeccioso por medio de ácidos nucléicos (ADN o ARN); no especificado de otra forma, cuantificacion, cada organismo","25.92","26.24"
3147,"87800.01",Carga viral del virus de la hepatitis B (HBV)-PCR en tiempo real,N/C,"314.31"
3148,"87800.02",Carga viral de Epstein-Barr virus (EBV)-PCR en tiempo real,N/C,"314.31"
3149,"87800.03",Carga viral de citomegalovirus (CMV)-PCR en tiempo real,N/C,"315.39"
3150,"87800.04",Carga viral de poliomavirus (BKV)-PCR en tiempo real,N/C,"314.31"
3151,"87800.05",Carga viral de adenovirus (ADV)-PCR en tiempo real,N/C,"366.86"
3152,"87800.07",Detección molecular por PCR en tiempo real de aspergillus,N/C,"394.38"
3153,"87800.09",Carga viral de herpes-6 virus por PCR en tiempo real (prueba cuantitativa),N/C,"681.52"
3154,"87801.06","Detección de agente infeccioso por medio de ácidos nucléicos (ADN o ARN); múltiples organismos, técnica de prueba amplificada para serotipos de dengue",,"270.639845175902"
3155,"87906","Genotipificación del VIH-1 (susceptibilidad) a partir de ácido nucleico (ARN), incluye integrasa",N/C,"210.5"
3156,"87910",Análisis de genotipo de agente infeccioso a partir de ácido nucleico (DNA o RNA); citomegalovirus,N/C,"917.28"
3157,"87999",Procedimiento microbiológico que no aparece en la lista,"49.09","49.09"
3158,"87999.01","Toma de muestra por hisopado (rectal, otico, nasal y oral)",N/C,"13.59"
3159,"88014","Necropsia, examen macroscópico solamente; mortinato o recién nacido con cerebro","81.35","81.35"
3160,"88025","Necropsia, macro y microscopica; con cerebro",,"205.625002477027"
3161,"88027","Necropsia, macro y microscópica; con cerebro y médula espinal",,"88.55"
3162,"88104","Citopatología, líquidos, lavados o cepillados, excepto cervicales o vaginales; extendidos con interpretación","14.55","14.55"
3163,"88107","Citopatología, líquidos, lavados o cepillados, excepto cervicales o vaginales; Reparación de extendidos y filtro, con interpretación",N/C,"46.04"
3164,"88112","Citopatología, técnica de mejoramiento celular selectiva con interpretación (p. ej..: método de Reparación de lámina basada en liquido), excepto muestra cervical o vaginal",,"34.928611897581"
3165,"88141","Citopatología, vaginal o cervical (en cualquier sistema de inFormación), requeriendo interpretación por un médico","5.84","5.92"
3166,"88141.01",Inspección Visual con ácido acético (IVAA),"2.6","2.6"
3167,"88142","Citopatología, cervical o vaginal (cualquier sistema de informes), con Rectolección de material en líquido preservante, Reparación automatizada de capa delgada; tamizaje manual supervisado por el médico",N/C,"27.25"
3168,"88150.01",Toma de muestra de Papanicolau ,"6.43","6.43"
3169,"88160","Citopatología, extendidos, cualquier otro origen; examen de tamizaje e interpretación",N/C,"61.61"
3170,"88172","Estudio citohistologico inmediato de aspirado de aguja fina para determinar adecuacion de la(s) muestra(s) para realizar diagnóstico, primera Evaluación, cada sitio","8.77","8.77"
3171,"88172.01",Biopsia de aspiración con aguja fina (BAAF),N/C,"66.18"
3172,"88173",Interpretación y reporte citopatologico de evaluación de aspirado de aguja fina,"4.4","4.4"
3173,"88177","Citopatología, Evaluación de aspirado de aguja fina; estudio citohistologico inmediato para determinar suficiencia para diagnóstico, cada episodio de Evaluación adicional por separado, mismo lugar (registrar separadamente además del código para el procedimiento primario)",N/C,"7.85"
3174,"88182.01",Citometría-índice ADN,N/C,"254.82"
3175,"88185.01",Citometría de flujo para detección de HPN,N/C,"276.84"
3176,"88185.02",Citometría de flujo para líquidos corporales,N/C,"243.18"
3177,"88187.01",Citometría de 8 Colores para Células Progenitoras,N/C,"426.77"
3178,"88188.01",Citometría de flujo para enfermedad mínima residual para leucemia,N/C,"627.01"
3179,"88200",Citometría de celulas progenitoras,"88.24","88.24"
3180,"88201",Citometría de linfocitos CD4 CD8,"132.58","132.58"
3181,"88202",Citometría para Miolema,"152.25","152.25"
3182,"88204",Citometría para Leucemia,"395.04","395.04"
3183,"88205","Citometría de linfocitos NK, B, T","274.17","274.17"
3184,"88206",Citometría para Linfoma,"489.29","489.29"
3185,"88207",Citometría: procedimiento parcial o frustro,"24.37","24.37"
3186,"88208",Citoquímica Leucemia Aguda,"395.04","395.04"
3187,"88209",Citoquímica para Linfoma LLC,"489.29","489.29"
3188,"88210",Estudio citogenético,N/C,"221.02"
3189,"88233",Cultivo de tejidos para trastornos no neoplásticos; piel u otro tipo de biopsia de tejido sólido,"37.75","37.75"
3190,"88240","Criopreservación, congelamiento y almacenamiento de células, cada línea celular",N/C,"543.16"
